model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 16.053955926854297}",-0.010253269436979628,"[-0.09234348692566696, 0.0718369480517077]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.01328264939123}",0.0032517986166768487,"[-0.054833352739410035, 0.06133694997276373]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5575186893674787}",-0.17864222276876107,"[-0.44024651796687575, 0.0829620724293536]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.351456545529511}",-0.057032355836254045,"[-0.19272559132611988, 0.07866087965361179]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.972082434777331}",-0.05074854162647896,"[-0.17966552893819698, 0.07816844568523906]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.209016311370383}",-0.05861603580594127,"[-0.1960079363751588, 0.07877586476327625]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.46692260295589777}",-0.18396928848232325,"[-0.4509909026521466, 0.0830523256875001]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 72.1517774831431}",0.0029065292799703157,"[-0.055663441612961106, 0.06147650017290174]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.1947049130435388}",-0.11278929596663312,"[-0.30696851072156317, 0.08138991878829693]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 34.61194599494399}",0.0001329082407461879,"[-0.06524963691243713, 0.0655154533939295]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.544051430643316}",-0.017274170958923585,"[-0.10827152690946096, 0.07372318499161379]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.7803884850277908}",-0.1665531460711825,"[-0.415847802063428, 0.082741509921063]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 27.630799986965464}",-0.0014842269087011473,"[-0.07029635481864838, 0.06732790100124608]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.5470958549309934}",-0.1334935197608046,"[-0.3489855976258194, 0.0819985581042102]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 43.98550589524232}",0.001145433031669918,"[-0.061503142395648025, 0.06379400845898786]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.543941231681779}",-0.054980191257265665,"[-0.1884670517094551, 0.07850666919492377]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 44.17800353023779}",0.0011600294180444393,"[-0.061445389758403746, 0.06376544859449262]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.956244022128883}",-0.018885818503003193,"[-0.11184075536142735, 0.07406911835542096]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 14.98866107685077}",-0.011997593516195726,"[-0.09637371466469169, 0.07237852763230024]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.1913405152468184}",-0.08909574251840924,"[-0.25867791476608826, 0.08048642972926978]",3,1,60,True,
