optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M45000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,45000.0,1.0,P,CMG,26925.0,18070.0,-99.99,-99.99,18070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618678,E,1
P1E 23M46000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,46000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,3.1769,0.000851,4.092501,-2372.721934,6.5e-07,0.060053,-99.99,2016618679,E,1
P1E 23M46000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,46000.0,1.0,P,CMG,26925.0,19070.0,-99.99,-99.99,19070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618680,E,1
P1E 23M47000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,47000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,3.291855,0.000825,3.974226,-2387.523636,6.1e-07,0.058083,-99.99,2016618681,E,1
P1E 23M47000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,47000.0,1.0,P,CMG,26925.0,20070.0,-99.99,-99.99,20070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618682,E,1
P1E 23M5000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,5000.0,1.0,C,CMG,26925.0,21920.0,-99.99,-99.99,21920.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618683,E,1
P1E 23M5000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,5000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618684,E,1
P1E 23M55000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,55000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,4.119095,0.000675,3.304824,-2484.305109,4e-07,0.047048,-99.99,2016618685,E,1
P1E 23M55000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,55000.0,1.0,P,CMG,26925.0,28070.0,-99.99,-99.99,28070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618686,E,1
P1E 23M60000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,60000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,4.568328,0.000616,3.036145,-2531.24796,3.3e-07,0.042678,-99.99,2016618687,E,1
P1E 23M60000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,60000.0,1.0,P,CMG,26925.0,33070.0,-99.99,-99.99,33070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618688,E,1
P1E 23M65000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,65000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,4.976765,0.000571,2.831094,-2571.321958,2.9e-07,0.039368,-99.99,2016618689,E,1
P1E 23M65000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,65000.0,1.0,P,CMG,26925.0,38070.0,-99.99,-99.99,38070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618690,E,1
P1E 23M70000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,70000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,5.351119,0.000536,2.668774,-2606.22337,2.5e-07,0.036763,-99.99,2016618691,E,1
P1E 23M70000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,70000.0,1.0,P,CMG,26925.0,43070.0,-99.99,-99.99,43070.0,0,0,,5.086495,-0.999598,1.435404,663.833319,1.4e-07,-191.737502,-99.99,2016618692,E,1
P1E 23M75000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,75000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,5.696564,0.000507,2.536635,-2637.098821,2.2e-07,0.034654,-99.99,2016618693,E,1
P1E 23M75000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,75000.0,1.0,P,CMG,26925.0,48070.0,-99.99,-99.99,48070.0,0,0,,5.736107,-0.99932,2.750477,-651.259299,2.4e-07,-205.415575,-99.99,2016618694,E,1
